TIME,A
2010/1/29,-0.060086115
2010/2/26,0.042742674
2010/3/31,0.022945661
2010/4/30,-0.069716002
2010/5/31,-0.081458653
2010/6/30,-0.082814489
2010/7/30,0.136022501
2010/8/31,0.070380496
2010/9/30,0.026361427
2010/10/29,0.112766599
2010/11/30,-0.018443749
2010/12/31,-0.019140528
2011/1/31,-0.045446391
2011/2/28,0.086263059
2011/3/31,-0.018905977
2011/4/29,-0.030187364
2011/5/31,-0.066352744
2011/6/30,0.039065045
2011/7/29,0.002915233
2011/8/31,-0.040950437
2011/9/30,-0.116704959
2011/10/31,0.036885278
2011/11/30,-0.050863442
2011/12/30,-0.120146923
2012/1/31,0.019542948
2012/2/29,0.101370712
2012/3/30,-0.071714384
2012/4/27,0.072020914
2012/5/31,0.016195915
2012/6/29,-0.06186674
2012/7/31,-0.069499721
2012/8/31,-0.025174867
2012/9/28,0.032214917
2012/10/31,-0.014933399
2012/11/30,-0.088083118
2012/12/31,0.164386584
2013/1/31,0.060814719
2013/2/28,0.018731953
2013/3/29,-0.049774826
2013/4/26,-0.026827142
2013/5/31,0.104819572
2013/6/28,-0.154255244
2013/7/31,0.039694205
2013/8/30,0.067790846
2013/9/30,0.055026346
2013/10/31,-0.023878491
2013/11/29,0.063966246
2013/12/31,-0.038587333
2014/1/30,-0.014318691
2014/2/28,0.014729764
2014/3/31,-0.033647307
2014/4/30,-0.008195356
2014/5/30,0.015705712
2014/6/30,0.03301241
2014/7/31,0.087104168
2014/8/29,0.033378241
2014/9/30,0.105367314
2014/10/31,0.01428445
2014/11/28,0.074833503
2014/12/31,0.082993677
2015/1/30,0.036190154
2015/2/27,0.064299144
2015/3/31,0.195198667
2015/4/30,0.190253283
2015/5/29,0.181134255
2015/6/30,-0.115350872
2015/7/31,-0.142840678
2015/8/31,-0.157875645
2015/9/30,-0.069269617
2015/10/30,0.186001426
2015/11/30,0.06482926
2015/12/31,0.060243921
2016/1/29,-0.282720364
2016/2/29,-0.026340905
2016/3/31,0.172947036
2016/4/29,-0.019552931
2016/5/31,-0.011201009
2016/6/30,0.040767865
2016/7/29,0.008918076
2016/8/31,0.040179584
2016/9/30,-0.016403475
2016/10/31,0.03092903
2016/11/30,0.033733189
2016/12/30,-0.050243708
2017/1/26,-0.027600809
2017/2/28,0.03178385
2017/3/31,-0.005892955
2017/4/28,-0.032095035
2017/5/31,-0.038415521
2017/6/30,0.052611116
2017/7/31,0.01004618
2017/8/31,0.027068677
2017/9/29,0.019306714
2017/10/31,0.014178678
2017/11/30,-0.034732326
2017/12/29,0.003201815
2018/1/31,0.017694597
2018/2/28,-0.049673244
2018/3/30,0.001221403
2018/4/27,-0.038365913
2018/5/31,0.015088732
2018/6/29,-0.084599495
2018/7/31,-0.001786007
2018/8/31,-0.073605395
2018/9/28,0.016050715
2018/10/31,-0.105687921
2018/11/30,0.029966581
2018/12/28,-0.041230713
2019/1/31,0.026646962
2019/2/28,0.175553811
2019/3/29,0.090860523
2019/4/30,-0.008548013
2019/5/31,-0.057465789
2019/6/28,0.034468532
2019/7/31,-0.002432226
2019/8/30,0.002488688
2019/9/30,-0.000653222
2019/10/31,0.009375474
2019/11/29,-0.019209344
2019/12/31,0.07627888
2020/1/23,-0.014866997
2020/2/28,0.004024668
2020/3/31,-0.052711489
2020/4/30,0.056402553
2020/5/8,0.023483478
